Color,QD Wins,QD Games,PD Wins,PD Games
Mono-White,6,9,44,78
Mono-Blue,2,4,30,45
Mono-Black,9,18,29,53
Mono-Red,13,24,84,154
Mono-Green,8,14,16,31
Mono-White + Splash,27,47,42,88
Mono-Blue + Splash,0,1,12,24
Mono-Black + Splash,2,5,28,55
Mono-Red + Splash,3,7,25,52
Mono-Green + Splash,1,7,19,38
Azorius (WU),5256,8781,24273,40833
Dimir (UB),708,1299,6442,11577
Rakdos (BR),2680,4982,18759,34175
Gruul (RG),439,795,4024,7685
Selesnya (GW),2379,4157,13986,24374
Orzhov (WB),145,266,902,1608
Golgari (BG),67,133,354,703
Simic (GU),27,55,317,586
Izzet (UR),27,55,127,268
Boros (RW),90,180,620,1161
Azorius (WU) + Splash,6988,11773,30839,53846
Dimir (UB) + Splash,1401,2617,14504,26354
Rakdos (BR) + Splash,2227,4235,16807,31538
Gruul (RG) + Splash,573,1103,7118,13486
Selesnya (GW) + Splash,3430,6007,22449,39145
Orzhov (WB) + Splash,150,280,1076,1952
Golgari (BG) + Splash,78,155,550,963
Simic (GU) + Splash,66,128,735,1267
Izzet (UR) + Splash,32,57,244,467
Boros (RW) + Splash,71,137,487,949
Jeskai (WUR),7,23,99,215
Sultai (UBG),53,100,147,269
Mardu (BRW),63,107,207,417
Temur (RGU),9,25,43,98
Abzan (GWB),54,119,301,555
Esper (WUB),8020,14835,48718,89972
Grixis (UBR),4904,9263,51995,94111
Jund (BRG),3583,7159,27076,52705
Naya (RGW),4185,8096,34001,63633
Bant (GWU),25175,43154,100169,173805
Jeskai (WUR) + Splash,6,16,63,140
Sultai (UBG) + Splash,11,15,122,254
Mardu (BRW) + Splash,17,35,156,290
Temur (RGU) + Splash,5,8,54,123
Abzan (GWB) + Splash,29,65,172,362
Esper (WUB) + Splash,1110,2094,8976,17049
Grixis (UBR) + Splash,468,913,7071,13377
Jund (BRG) + Splash,491,965,5769,11435
Naya (RGW) + Splash,714,1383,7309,13996
Bant (GWU) + Splash,1931,3500,11206,20033
