Mono-White,62,125,49.6%
Mono-Blue,29,67,43.3%
Mono-Black,90,148,60.8%
Mono-Red,269,481,55.9%
Mono-Green,119,209,56.9%
Mono-White + Splash,179,324,55.2%
Mono-Blue + Splash,57,118,48.3%
Mono-Black + Splash,184,330,55.8%
Mono-Red + Splash,369,635,58.1%
Mono-Green + Splash,136,243,56.0%
Azorius (WU),1424,2817,50.6%
Dimir (UB),3301,6238,52.9%
Rakdos (BR),39763,66340,59.9%
Gruul (RG),6335,11285,56.1%
Selesnya (GW),9570,16762,57.1%
Orzhov (WB),5153,9539,54.0%
Golgari (BG),4982,8996,55.4%
Simic (GU),1874,3472,54.0%
Izzet (UR),2314,4439,52.1%
Boros (RW),8042,14938,53.8%
Azorius (WU) + Splash,411,844,48.7%
Dimir (UB) + Splash,653,1259,51.9%
Rakdos (BR) + Splash,7404,13123,56.4%
Gruul (RG) + Splash,1981,3684,53.8%
Selesnya (GW) + Splash,2149,3953,54.4%
Orzhov (WB) + Splash,1686,3200,52.7%
Golgari (BG) + Splash,1390,2563,54.2%
Simic (GU) + Splash,526,1002,52.5%
Izzet (UR) + Splash,487,997,48.8%
Boros (RW) + Splash,1216,2267,53.6%
Jeskai (WUR),143,318,45.0%
Sultai (UBG),398,835,47.7%
Mardu (BRW),1054,2119,49.7%
Temur (RGU),218,466,46.8%
Abzan (GWB),756,1564,48.3%
Esper (WUB),579,1236,46.8%
Grixis (UBR),602,1197,50.3%
Jund (BRG),863,1808,47.7%
Naya (RGW),697,1390,50.1%
Bant (GWU),330,703,46.9%
