Color,QD Wins,QD Games,PD Wins,PD Games
Mono-White,154,275,589,1011
Mono-Blue,49,115,317,607
Mono-Black,122,214,216,380
Mono-Red,233,406,883,1509
Mono-Green,108,208,172,352
Mono-White + Splash,196,354,773,1412
Mono-Blue + Splash,145,270,910,1683
Mono-Black + Splash,300,563,760,1398
Mono-Red + Splash,243,405,1218,2048
Mono-Green + Splash,360,648,1326,2311
Azorius (WU),9528,16610,50058,87975
Dimir (UB),10628,19105,46731,85268
Rakdos (BR),22902,39391,66542,116611
Gruul (RG),11836,21057,47300,84237
Selesnya (GW),5794,10799,27059,50300
Orzhov (WB),13047,22993,41650,74567
Golgari (BG),6931,12325,16923,31514
Simic (GU),1822,3379,13099,24321
Izzet (UR),6206,10995,36412,64209
Boros (RW),5354,9645,25564,45557
Azorius (WU) + Splash,1019,1898,4083,7940
Dimir (UB) + Splash,1726,3337,6449,12782
Rakdos (BR) + Splash,3512,6517,10558,19503
Gruul (RG) + Splash,2323,4322,10115,18930
Selesnya (GW) + Splash,1644,3148,7118,13626
Orzhov (WB) + Splash,2065,3877,5573,10580
Golgari (BG) + Splash,3163,5741,9358,17604
Simic (GU) + Splash,787,1456,6797,12830
Izzet (UR) + Splash,722,1394,4143,7671
Boros (RW) + Splash,699,1395,3142,5985
Jeskai (WUR),136,282,579,1181
Sultai (UBG),417,838,1291,2664
Mardu (BRW),1003,2037,2254,4594
Temur (RGU),114,251,895,1864
Abzan (GWB),734,1430,1409,2860
Esper (WUB),459,963,869,1879
Grixis (UBR),305,618,818,1703
Jund (BRG),953,1803,1786,3586
Naya (RGW),423,817,1383,2793
Bant (GWU),167,343,688,1408
Jeskai (WUR) + Splash,0,2,22,47
Sultai (UBG) + Splash,49,105,241,515
Mardu (BRW) + Splash,22,47,47,97
Temur (RGU) + Splash,18,40,137,273
Abzan (GWB) + Splash,59,129,164,314
Esper (WUB) + Splash,21,42,42,81
Grixis (UBR) + Splash,20,38,46,109
Jund (BRG) + Splash,56,114,177,377
Naya (RGW) + Splash,25,55,63,141
Bant (GWU) + Splash,18,45,113,223
