Mono-White,139,234,59.4%
Mono-Blue,2,8,25.0%
Mono-Black,33,64,51.6%
Mono-Red,146,245,59.6%
Mono-Green,65,107,60.7%
Mono-White + Splash,386,649,59.5%
Mono-Blue + Splash,63,141,44.7%
Mono-Black + Splash,78,168,46.4%
Mono-Red + Splash,221,404,54.7%
Mono-Green + Splash,613,984,62.3%
Azorius (WU),2009,3809,52.7%
Dimir (UB),950,2121,44.8%
Rakdos (BR),5309,9674,54.9%
Gruul (RG),5893,10426,56.5%
Selesnya (GW),9438,15281,61.8%
Orzhov (WB),4172,7565,55.1%
Golgari (BG),5321,9663,55.1%
Simic (GU),2678,4835,55.4%
Izzet (UR),6543,11686,56.0%
Boros (RW),14728,24944,59.0%
Azorius (WU) + Splash,871,1766,49.3%
Dimir (UB) + Splash,989,2192,45.1%
Rakdos (BR) + Splash,1114,2147,51.9%
Gruul (RG) + Splash,5793,10189,56.9%
Selesnya (GW) + Splash,4089,7173,57.0%
Orzhov (WB) + Splash,1086,2125,51.1%
Golgari (BG) + Splash,4424,8167,54.2%
Simic (GU) + Splash,7532,13484,55.9%
Izzet (UR) + Splash,3115,5715,54.5%
Boros (RW) + Splash,2074,3773,55.0%
Jeskai (WUR),601,1241,48.4%
Sultai (UBG),5438,11005,49.4%
Mardu (BRW),726,1508,48.1%
Temur (RGU),6379,11693,54.6%
Abzan (GWB),1385,2750,50.4%
Esper (WUB),930,2034,45.7%
Grixis (UBR),1220,2509,48.6%
Jund (BRG),2519,4711,53.5%
Naya (RGW),1370,2619,52.3%
Bant (GWU),1403,2796,50.2%
