Color,QD Wins,QD Games,PD Wins,PD Games
Mono-White,154,256,300,532
Mono-Blue,110,202,264,447
Mono-Black,191,340,212,366
Mono-Red,254,459,521,958
Mono-Green,32,57,297,496
Mono-White + Splash,109,206,490,846
Mono-Blue + Splash,217,357,835,1377
Mono-Black + Splash,267,458,326,581
Mono-Red + Splash,144,259,743,1343
Mono-Green + Splash,52,91,521,936
Azorius (WU),11109,18783,46179,78047
Dimir (UB),35742,59502,86938,149609
Rakdos (BR),7460,13332,31789,58206
Gruul (RG),2564,5094,14559,27952
Selesnya (GW),4630,8351,31977,55591
Orzhov (WB),16595,28356,44593,78559
Golgari (BG),4123,7385,16605,30593
Simic (GU),3635,6409,26278,45787
Izzet (UR),5345,9621,24602,45550
Boros (RW),3565,6616,19612,35427
Azorius (WU) + Splash,1410,2548,7567,13350
Dimir (UB) + Splash,2511,4521,7736,14474
Rakdos (BR) + Splash,523,1029,2052,4204
Gruul (RG) + Splash,469,987,3301,6620
Selesnya (GW) + Splash,1037,1943,6756,12730
Orzhov (WB) + Splash,1443,2647,4783,8907
Golgari (BG) + Splash,974,1796,4527,8824
Simic (GU) + Splash,1417,2602,13109,23894
Izzet (UR) + Splash,551,1043,3413,6861
Boros (RW) + Splash,268,576,1845,3702
Jeskai (WUR),696,1413,696,1413
Sultai (UBG),3509,6819,3509,6819
Mardu (BRW),1045,2170,1045,2170
Temur (RGU),1398,2804,1398,2804
Abzan (GWB),1629,3305,1629,3305
Esper (WUB),2871,5767,2871,5767
Grixis (UBR),733,1598,733,1598
Jund (BRG),826,1763,826,1763
Naya (RGW),1068,2138,1068,2138
Bant (GWU),1864,3490,1864,3490
Jeskai (WUR) + Splash,5,11,26,57
Sultai (UBG) + Splash,72,141,310,658
Mardu (BRW) + Splash,1,3,11,25
Temur (RGU) + Splash,17,33,273,533
Abzan (GWB) + Splash,19,43,100,199
Esper (WUB) + Splash,18,32,26,70
Grixis (UBR) + Splash,9,20,33,67
Jund (BRG) + Splash,2,6,68,167
Naya (RGW) + Splash,5,8,35,80
Bant (GWU) + Splash,41,67,282,538
