Mono-White,42,76,55.3%
Mono-Blue,34,75,45.3%
Mono-Black,96,159,60.4%
Mono-Red,320,567,56.4%
Mono-Green,67,121,55.4%
Mono-White + Splash,97,196,49.5%
Mono-Blue + Splash,266,498,53.4%
Mono-Black + Splash,197,328,60.1%
Mono-Red + Splash,326,579,56.3%
Mono-Green + Splash,810,1447,56.0%
Azorius (WU),2583,4619,55.9%
Dimir (UB),10327,17396,59.4%
Rakdos (BR),7736,13430,57.6%
Gruul (RG),1179,2276,51.8%
Selesnya (GW),6902,12049,57.3%
Orzhov (WB),3998,6991,57.2%
Golgari (BG),4966,8581,57.9%
Simic (GU),2816,5009,56.2%
Izzet (UR),2032,3812,53.3%
Boros (RW),1904,3767,50.5%
Azorius (WU) + Splash,1366,2514,54.3%
Dimir (UB) + Splash,5255,9081,57.9%
Rakdos (BR) + Splash,1464,2831,51.7%
Gruul (RG) + Splash,656,1300,50.5%
Selesnya (GW) + Splash,8288,14694,56.4%
Orzhov (WB) + Splash,2380,4201,56.7%
Golgari (BG) + Splash,6519,11595,56.2%
Simic (GU) + Splash,4644,8093,57.4%
Izzet (UR) + Splash,1059,2104,50.3%
Boros (RW) + Splash,575,1230,46.7%
Jeskai (WUR),218,462,47.2%
Sultai (UBG),2200,3977,55.3%
Mardu (BRW),638,1283,49.7%
Temur (RGU),132,264,50.0%
Abzan (GWB),2272,4078,55.7%
Esper (WUB),1511,2711,55.7%
Grixis (UBR),603,1202,50.2%
Jund (BRG),271,556,48.7%
Naya (RGW),240,502,47.8%
Bant (GWU),2784,4818,57.8%
