Mono-White,30,71,42.3%
Mono-Blue,157,283,55.5%
Mono-Black,18,35,51.4%
Mono-Red,126,210,60.0%
Mono-Green,42,75,56.0%
Mono-White + Splash,27,69,39.1%
Mono-Blue + Splash,438,744,58.9%
Mono-Black + Splash,44,86,51.2%
Mono-Red + Splash,110,204,53.9%
Mono-Green + Splash,78,143,54.5%
Azorius (WU),3300,6014,54.9%
Dimir (UB),11289,19752,57.2%
Rakdos (BR),6159,10605,58.1%
Gruul (RG),2533,4757,53.2%
Selesnya (GW),2095,3932,53.3%
Orzhov (WB),10360,18691,55.4%
Golgari (BG),2402,4583,52.4%
Simic (GU),5262,9849,53.4%
Izzet (UR),5034,9210,54.7%
Boros (RW),6050,10591,57.1%
Azorius (WU) + Splash,178,379,47.0%
Dimir (UB) + Splash,622,1181,52.7%
Rakdos (BR) + Splash,434,793,54.7%
Gruul (RG) + Splash,556,1102,50.5%
Selesnya (GW) + Splash,380,756,50.3%
Orzhov (WB) + Splash,672,1353,49.7%
Golgari (BG) + Splash,464,942,49.3%
Simic (GU) + Splash,1640,3172,51.7%
Izzet (UR) + Splash,486,992,49.0%
Boros (RW) + Splash,287,579,49.6%
Jeskai (WUR),171,385,44.4%
Sultai (UBG),546,1245,43.9%
Mardu (BRW),368,802,45.9%
Temur (RGU),561,1174,47.8%
Abzan (GWB),357,795,44.9%
Esper (WUB),474,953,49.7%
Grixis (UBR),340,742,45.8%
Jund (BRG),387,767,50.5%
Naya (RGW),480,999,48.0%
Bant (GWU),276,642,43.0%
